city,migros_count,population,coordinates
Visp,1,6576.0,"46.2937, 7.88149"
Orbe,2,5132.0,"46.72504, 6.53069"
Frutigen,1,6671.0,"46.58723, 7.64945"
Worb,1,11053.0,"46.92984, 7.56306"
Jona,1,17655.0,"47.22983, 8.83884"
Romont FR,1,5276.0,"46.69652, 6.91898"
Weggis,1,3863.0,"47.03208, 8.43219"
Morges,1,14117.0,"46.51127, 6.49854"
Adliswil,1,15230.0,"47.30997, 8.52462"
Bauma,1,1029.0,"47.36745, 8.87905"
Wetzikon,1,24764.0,"47.3264, 8.79779"
Schindellegi,1,3174.0,"47.1746, 8.71345"
Greifensee,1,5032.0,"47.36717, 8.68115"
Strengelbach,1,4349.0,"47.27917, 7.92895"
Bettlach,1,4834.0,"47.20062, 7.42405"
Fleurier,1,3681.0,"46.90224, 6.58253"
Düdingen,1,7155.0,"46.84916, 7.1915"
Schafisheim,1,2758.0,"47.37664, 8.14263"
Ebikon,2,11471.0,"47.07937, 8.34041"
Le Grand-Saconnex,1,9781.0,"46.23188, 6.12091"
Cham,1,16719.0,"47.18213, 8.46358"
Uzwil,1,12885.0,"47.43653, 9.13422"
Gränichen,1,6557.0,"47.3593, 8.10243"
Lengnau BE,1,7336.0,"47.18155, 7.36814"
Préverenges,1,4695.0,"46.51854, 6.52682"
Küssnacht am Rigi,1,11777.0,"47.08557, 8.44206"
Belp,1,9307.0,"46.89129, 7.49825"
Zuzwil SG,1,4226.0,"47.47452, 9.11196"
Peseux,1,5716.0,"46.98704, 6.88903"
Ecublens,1,10065.0,"46.60735, 6.80895"
Tavannes,1,3367.0,"47.22079, 7.19759"
Binningen,2,14130.0,"47.54021, 7.56932"
Zollikon,1,5812.0,"47.34019, 8.57407"
Hombrechtikon,1,9212.0,"47.25298, 8.77212"
Porrentruy,1,6521.0,"47.41728, 7.07573"
Estavayer-le-Lac,1,5061.0,"46.84876, 6.8465"
Büron,1,1951.0,"47.21192, 8.0942"
Safenwil,1,3201.0,"47.32163, 7.98254"
Domat/Ems,1,6817.0,"46.83483, 9.45075"
Moutier,1,7721.0,"47.27818, 7.36951"
Neunkirch,1,1911.0,"47.69012, 8.49981"
Hitzkirch,1,2165.0,"47.22403, 8.26425"
Rothrist,1,7423.0,"47.30508, 7.89196"
Windisch,1,6689.0,"47.47899, 8.21842"
Lachen,1,6685.0,"47.19224, 8.85324"
Oberriet SG,1,7675.0,"47.32088, 9.56808"
Buchs,2,6599.0,"47.39358, 8.08233"
Suhr,1,9374.0,"47.37172, 8.07967"
Jegenstorf,1,4027.0,"47.04802, 7.50787"
Stans,2,7475.0,"46.95805, 8.36609"
Grabs,1,6384.0,"47.18248, 9.44395"
Horw,1,12348.0,"47.01692, 8.30956"
Brienz BE,1,3090.0,"46.7545, 8.03847"
Brügg BE,1,3868.0,"47.1237, 7.27887"
Meiringen,1,4652.0,"46.72709, 8.1872"
Goldau,1,5285.0,"47.04761, 8.54616"
Gerlafingen,1,4864.0,"47.17087, 7.57249"
Marly,1,7653.0,"46.77611, 7.16459"
Teufen AR,1,5683.0,"47.3908, 9.38644"
Niederlenz,1,4022.0,"47.40079, 8.1764"
Rotkreuz,1,10439.0,"47.14283, 8.4314"
Huttwil,1,4643.0,"47.11502, 7.86209"
Chêne-Bourg,1,7959.0,"46.19534, 6.19406"
Dagmersellen,1,3300.0,"47.21405, 7.98519"
Flums,1,4848.0,"47.09058, 9.34301"
Goldach,1,9094.0,"47.47401, 9.46711"
Baar,1,20546.0,"47.19625, 8.52954"
Neuhausen,1,10019.0,"47.68579, 8.61474"
Thusis,1,2572.0,"46.69724, 9.43938"
Thayngen,1,4120.0,"47.74717, 8.70724"
Oberglatt ZH,1,3564.0,"47.47576, 8.51896"
Biberist,1,7889.0,"47.18009, 7.56246"
Gelterkinden,1,5709.0,"47.46497, 7.85174"
Einsiedeln,1,13148.0,"47.12849, 8.74735"
Saignelégier,1,2194.0,"47.25619, 6.99648"
Oftringen,1,10390.0,"47.31382, 7.92533"
Altdorf,1,8678.0,"46.88042, 8.64441"
La Neuveville,1,3495.0,"47.06592, 7.09717"
Vallorbe,1,3098.0,"46.71256, 6.37894"
Plaffeien,1,1938.0,"46.74198, 7.28666"
Niederhasli,1,2848.0,"47.48012, 8.48576"
Birmensdorf ZH,1,4772.0,"47.35515, 8.44256"
Buchs AG,1,6599.0,"47.39358, 8.08233"
Yvonand,1,2401.0,"46.80034, 6.74249"
Moudon,1,4343.0,"46.66758, 6.79781"
Gebenstorf,1,4100.0,"47.48136, 8.23949"
Rüti,1,9576.0,"47.25603, 8.85552"
Frick,1,4583.0,"47.51169, 8.02471"
Savièse,1,5575.0,"46.25115, 7.34558"
Wollerau,1,6883.0,"47.19478, 8.71903"
Pregassona,1,7548.0,"46.02021, 8.97429"
Wettingen,1,18191.0,"47.46606, 8.32663"
Leukerbad,1,1427.0,"46.37943, 7.62687"
Pully,1,16263.0,"46.51027, 6.66183"
Montagny-près-Yverdon,1,1467.0,"46.79289, 6.61222"
Bad Zurzach,1,4213.0,"47.58764, 8.29365"
Saxon,1,3477.0,"46.14937, 7.17514"
Breitenbach,1,3241.0,"47.40668, 7.54554"
Monthey,1,15106.0,"46.25451, 6.95406"
Zuchwil,1,9268.0,"47.20173, 7.56649"
Le Landeron,1,4278.0,"47.05702, 7.07052"
Faido,1,1512.0,"46.477, 8.80125"
Adligenswil,1,5576.0,"47.06521, 8.36124"
Heimberg,1,5501.0,"46.79482, 7.60433"
